"country","population","life_expectancy","health_spend_pct_gdp","health_spend_per_person","medical_doctors_per_1000","maternal_mortality_rate","children_per_woman","child_mortality_rate","six_vacc_rate","continent","sub_region"
"Brazil",196000000,74.4,0.0901,1030,1.81,68,1.81,18.7,0.96,"Americas","South America"
"Brunei",389000,75.1,0.0284,1450,1.45,27,1.84,9.66,0.94,"Asia","South-Eastern Asia"
"Bulgaria",7430000,73.8,0.0687,947,3.77,8,1.49,10.7,0.91,"Europe","Eastern Europe"
"Burkina Faso",15600000,58.3,0.0674,92.6,0.0457,440,5.87,114,0.9,"Africa","Western Africa"
"Burundi",8680000,57.8,0.116,47.3,0.0482,820,6.26,90.7,0.92,"Africa","Eastern Africa"
"Cambodia",14300000,67.1,0.0568,121,0.23,200,2.88,44.3,0.86,"Asia","South-Eastern Asia"
"Cameroon",20300000,57.7,0.0513,122,0.0842,640,5.11,107,0.79,"Africa","Middle Africa"
"Canada",34100000,81.4,0.113,4400,2.04,13,1.64,5.65,,"Americas","Northern America"
"Cape Verde",493000,74.3,0.0409,184,0.593,58,2.67,24.9,,"Africa","Western Africa"
"Central African Republic",4390000,48,0.0398,31.1,,960,5.22,150,0.45,"Africa","Middle Africa"
"Chad",12000000,56.4,0.0453,61.7,,1100,6.59,150,0.39,"Africa","Middle Africa"
"Chile",17100000,78.6,0.0796,1200,1.43,24,1.88,8.7,0.92,"Americas","South America"
"China",1370000000,75.8,0.0507,379,1.45,36,1.59,15.8,,"Asia","Eastern Asia"
"Colombia",45200000,78.1,0.0759,713,1.59,85,2.01,18.5,0.84,"Americas","South America"
"Comoros",690000,66.5,0.0451,49.1,,380,4.92,87.1,0.72,"Africa","Eastern Africa"
